symbol,expiration,optionType,strike,lastPrice,change,percentChange,volume,openInterest,bid,ask,lastTradeDate,impliedVolatility,inTheMoney,Midpiont
^SPX,2023-11-15,calls,1800.0,2392.83,0.0,0.0,1.0,1.0,2695.6,2713.5,2023-10-31 19:28:52,6.841798322753906,True,2704.55
^SPX,2023-11-15,calls,3700.0,809.17,133.78998,19.809586,1.0,1.0,795.6,811.9,2023-11-15 17:29:39,1.5551780053710935,True,803.75
^SPX,2023-11-15,calls,3750.0,639.04,0.0,0.0,0.0,1.0,749.2,757.1,2023-10-16 15:41:17,1.2822301513671874,True,753.1500000000001
^SPX,2023-11-15,calls,3800.0,588.8,0.0,0.0,0.0,1.0,695.6,712.1,2023-10-16 16:00:24,1.3842804223632812,True,703.85
^SPX,2023-11-15,calls,3825.0,302.99,0.0,0.0,2.0,1.0,674.2,682.1,2023-10-27 18:25:36,1.15625421875,True,678.1500000000001
^SPX,2023-11-15,calls,3900.0,350.3,0.0,0.0,2.0,3.0,595.6,607.1,2023-10-24 07:36:28,1.4924341784667967,True,601.35
^SPX,2023-11-15,calls,3910.0,226.74,0.0,0.0,4.0,2.0,589.2,597.1,2023-10-27 18:25:13,1.0141650854492186,True,593.1500000000001
^SPX,2023-11-15,calls,3925.0,210.38,0.0,0.0,350.0,176.0,574.2,583.2,2023-10-27 19:24:21,1.1242719567871091,True,578.7
^SPX,2023-11-15,calls,3940.0,207.02,0.0,0.0,4.0,2.0,555.6,568.2,2023-10-27 18:41:33,1.4642360772705076,True,561.9000000000001
^SPX,2023-11-15,calls,3950.0,551.65,0.0,0.0,1.0,24.0,545.6,561.9,2023-11-14 16:25:56,1.0864303491210938,True,553.75
^SPX,2023-11-15,calls,3960.0,183.01,0.0,0.0,4.0,2.0,535.6,548.2,2023-10-27 18:26:52,1.418459938964844,True,541.9000000000001
^SPX,2023-11-15,calls,3965.0,544.59,298.62003,121.40507,1.0,1.0,530.6,542.1,2023-11-15 14:44:01,1.3477815814208982,True,536.35
^SPX,2023-11-15,calls,3970.0,540.46,274.32,103.07357,2.0,2.0,529.2,538.2,2023-11-15 18:54:16,1.041508698730469,True,533.7
^SPX,2023-11-15,calls,3975.0,372.53,0.0,0.0,23.0,24.0,524.2,533.2,2023-11-03 13:30:12,1.0324755407714847,True,528.7
^SPX,2023-11-15,calls,3980.0,539.73,160.68,42.390186,1.0,1.0,519.2,527.1,2023-11-09 19:28:54,0.8984385156249999,True,523.1500000000001
^SPX,2023-11-15,calls,3990.0,519.15,133.09003,34.473923,1.0,173.0,509.2,517.1,2023-11-15 17:29:39,0.8818371191406249,True,513.15
^SPX,2023-11-15,calls,4000.0,152.22,0.0,0.0,2.0,1.0,495.6,507.1,2023-10-27 19:56:30,1.2700842160034176,True,501.35
^SPX,2023-11-15,calls,4010.0,146.16,0.0,0.0,12.0,5.0,489.2,498.2,2023-10-27 19:30:56,0.9685061743164064,True,493.7
^SPX,2023-11-15,calls,4015.0,173.77,0.0,0.0,2.0,8.0,480.6,493.2,2023-10-30 13:49:01,1.2923619366455077,True,486.9
^SPX,2023-11-15,calls,4020.0,135.86,0.0,0.0,2.0,1.0,479.2,488.2,2023-10-27 18:24:18,0.9501958105468749,True,483.7
^SPX,2023-11-15,calls,4025.0,477.74,0.0,0.0,2.0,271.0,474.2,483.2,2023-11-14 16:29:26,0.9409185595703125,True,478.7
^SPX,2023-11-15,calls,4030.0,470.49,0.0,0.0,1.0,1.0,469.2,478.2,2023-11-14 16:22:30,0.931885446777344,True,473.7
