Date,Users
2020-01-01,301
2020-01-02,286
2020-01-03,278
2020-01-04,254
2020-01-05,291
2020-01-06,287
2020-01-07,473
2020-01-08,355
2020-01-09,338
2020-01-10,235
2020-01-11,246
2020-01-12,301
2020-01-13,519
2020-01-14,334
2020-01-15,250
2020-01-16,225
2020-01-17,213
2020-01-18,248
2020-01-19,260
2020-01-20,248
2020-01-21,236
2020-01-22,334
2020-01-23,319
2020-01-24,283
2020-01-25,313
2020-01-26,286
2020-01-27,474
2020-01-28,544
2020-01-29,391
2020-01-30,320
2020-01-31,318
2020-02-01,318
2020-02-02,312
2020-02-03,465
2020-02-04,507
2020-02-05,378
2020-02-06,342
2020-02-07,332
2020-02-08,306
2020-02-09,307
2020-02-10,319
2020-02-11,494
2020-02-12,406
2020-02-13,361
2020-02-14,366
2020-02-15,360
2020-02-16,355
2020-02-17,449
2020-02-18,377
2020-02-19,332
2020-02-20,1472
2020-02-21,571
2020-02-22,403
2020-02-23,407
2020-02-24,477
2020-02-25,568
2020-02-26,485
2020-02-27,488
2020-02-28,772
2020-02-29,791
2020-03-01,572
2020-03-02,746
2020-03-03,1228
2020-03-04,1268
2020-03-05,1002
2020-03-06,913
2020-03-07,775
2020-03-08,780
2020-03-09,936
2020-03-10,910
2020-03-11,993
2020-03-12,1066
2020-03-13,991
2020-03-14,1000
2020-03-15,1035
2020-03-16,1032
2020-03-17,1057
2020-03-18,949
2020-03-19,930
2020-03-20,926
2020-03-21,753
2020-03-22,757
2020-03-23,779
2020-03-24,706
2020-03-25,791
2020-03-26,862
2020-03-27,959
2020-03-28,728
2020-03-29,858
2020-03-30,867
2020-03-31,735
2020-04-01,953
2020-04-02,924
2020-04-03,681
2020-04-04,620
2020-04-05,603
2020-04-06,641
2020-04-07,653
2020-04-08,622
2020-04-09,508
2020-04-10,485
2020-04-11,595
2020-04-12,1129
2020-04-13,634
2020-04-14,540
2020-04-15,1472
2020-04-16,922
2020-04-17,913
2020-04-18,655
2020-04-19,588
2020-04-20,709
2020-04-21,657
2020-04-22,539
2020-04-23,535
2020-04-24,450
2020-04-25,551
2020-04-26,584
2020-04-27,813
2020-04-28,605
2020-04-29,600
2020-04-30,626
2020-05-01,672
2020-05-02,553
2020-05-03,574
2020-05-04,606
2020-05-05,633
2020-05-06,628
2020-05-07,683
2020-05-08,656
2020-05-09,531
2020-05-10,591
2020-05-11,652
2020-05-12,613
2020-05-13,593
2020-05-14,578
2020-05-15,469
2020-05-16,398
2020-05-17,433
2020-05-18,702
2020-05-19,635
2020-05-20,480
2020-05-21,464
2020-05-22,409
2020-05-23,428
2020-05-24,528
2020-05-25,447
2020-05-26,482
2020-05-27,524
2020-05-28,663
2020-05-29,851
2020-05-30,674
2020-05-31,695
2020-06-01,653
2020-06-02,741
2020-06-03,667
2020-06-04,607
2020-06-05,672
2020-06-06,514
2020-06-07,511
2020-06-08,560
2020-06-09,597
2020-06-10,615
2020-06-11,1865
2020-06-12,1468
2020-06-13,1726
2020-06-14,1205
2020-06-15,925
2020-06-16,871
2020-06-17,902
2020-06-18,981
2020-06-19,688
2020-06-20,614
2020-06-21,622
2020-06-22,662
2020-06-23,1904
2020-06-24,1443
2020-06-25,913
2020-06-26,737
2020-06-27,607
2020-06-28,709
2020-06-29,706
2020-06-30,698
2020-07-01,676
2020-07-02,666
2020-07-03,551
2020-07-04,654
2020-07-05,680
2020-07-06,707
2020-07-07,678
2020-07-08,616
2020-07-09,550
2020-07-10,496
2020-07-11,454
2020-07-12,483
2020-07-13,1464
2020-07-14,663
2020-07-15,589
2020-07-16,685
2020-07-17,627
2020-07-18,499
2020-07-19,620
2020-07-20,651
2020-07-21,762
2020-07-22,1001
2020-07-23,819
2020-07-24,1494
2020-07-25,2924
2020-07-26,827
2020-07-27,857
2020-07-28,763
2020-07-29,695
2020-07-30,740
2020-07-31,557
2020-08-01,534
2020-08-02,626
2020-08-03,636
2020-08-04,569
2020-08-05,626
2020-08-06,773
2020-08-07,624
2020-08-08,699
2020-08-09,785
2020-08-10,790
2020-08-11,845
2020-08-12,779
2020-08-13,827
2020-08-14,750
2020-08-15,668
2020-08-16,839
2020-08-17,935
2020-08-18,837
2020-08-19,804
2020-08-20,787
2020-08-21,706
2020-08-22,687
2020-08-23,775
2020-08-24,889
2020-08-25,834
2020-08-26,796
2020-08-27,876
2020-08-28,791
2020-08-29,681
2020-08-30,976
2020-08-31,1080
2020-09-01,960
2020-09-02,933
2020-09-03,902
2020-09-04,977
2020-09-05,826
2020-09-06,936
2020-09-07,980
2020-09-08,920
2020-09-09,976
2020-09-10,889
2020-09-11,966
2020-09-12,911
2020-09-13,1079
