,Day Index,1 Day Active Users
0,2020-01-01,301
1,2020-01-02,286
2,2020-01-03,278
3,2020-01-04,254
4,2020-01-05,291
5,2020-01-06,287
6,2020-01-07,473
7,2020-01-08,355
8,2020-01-09,338
9,2020-01-10,235
10,2020-01-11,246
11,2020-01-12,301
12,2020-01-13,519
13,2020-01-14,334
14,2020-01-15,250
15,2020-01-16,225
16,2020-01-17,213
17,2020-01-18,248
18,2020-01-19,260
19,2020-01-20,248
20,2020-01-21,236
21,2020-01-22,334
22,2020-01-23,319
23,2020-01-24,283
24,2020-01-25,313
25,2020-01-26,286
26,2020-01-27,474
27,2020-01-28,544
28,2020-01-29,391
29,2020-01-30,320
30,2020-01-31,318
31,2020-02-01,318
32,2020-02-02,312
33,2020-02-03,465
34,2020-02-04,507
35,2020-02-05,378
36,2020-02-06,342
37,2020-02-07,332
38,2020-02-08,306
39,2020-02-09,307
40,2020-02-10,319
41,2020-02-11,494
42,2020-02-12,406
43,2020-02-13,361
44,2020-02-14,366
45,2020-02-15,360
46,2020-02-16,355
47,2020-02-17,449
48,2020-02-18,377
49,2020-02-19,332
50,2020-02-20,"1,472"
51,2020-02-21,571
52,2020-02-22,403
53,2020-02-23,407
54,2020-02-24,477
55,2020-02-25,568
56,2020-02-26,485
57,2020-02-27,488
58,2020-02-28,772
59,2020-02-29,791
60,2020-03-01,572
61,2020-03-02,746
62,2020-03-03,"1,228"
63,2020-03-04,"1,268"
64,2020-03-05,"1,002"
65,2020-03-06,913
66,2020-03-07,775
67,2020-03-08,780
68,2020-03-09,936
69,2020-03-10,910
70,2020-03-11,993
71,2020-03-12,"1,066"
72,2020-03-13,991
73,2020-03-14,"1,000"
74,2020-03-15,"1,035"
75,2020-03-16,"1,032"
76,2020-03-17,"1,057"
77,2020-03-18,949
78,2020-03-19,930
79,2020-03-20,926
80,2020-03-21,753
81,2020-03-22,757
82,2020-03-23,779
83,2020-03-24,706
84,2020-03-25,791
85,2020-03-26,862
86,2020-03-27,959
87,2020-03-28,728
88,2020-03-29,858
89,2020-03-30,867
90,2020-03-31,735
91,2020-04-01,953
92,2020-04-02,924
93,2020-04-03,681
94,2020-04-04,620
95,2020-04-05,603
96,2020-04-06,641
97,2020-04-07,653
98,2020-04-08,622
99,2020-04-09,508
100,2020-04-10,485
101,2020-04-11,595
102,2020-04-12,"1,129"
103,2020-04-13,634
104,2020-04-14,540
105,2020-04-15,"1,472"
106,2020-04-16,922
107,2020-04-17,913
108,2020-04-18,655
109,2020-04-19,588
110,2020-04-20,709
111,2020-04-21,657
112,2020-04-22,539
113,2020-04-23,535
114,2020-04-24,450
115,2020-04-25,551
116,2020-04-26,584
117,2020-04-27,813
118,2020-04-28,605
119,2020-04-29,600
120,2020-04-30,626
121,2020-05-01,672
122,2020-05-02,553
123,2020-05-03,574
124,2020-05-04,606
125,2020-05-05,633
126,2020-05-06,628
127,2020-05-07,683
128,2020-05-08,656
129,2020-05-09,531
130,2020-05-10,591
131,2020-05-11,652
132,2020-05-12,613
133,2020-05-13,593
134,2020-05-14,578
135,2020-05-15,469
136,2020-05-16,398
137,2020-05-17,433
138,2020-05-18,702
139,2020-05-19,635
140,2020-05-20,480
141,2020-05-21,464
142,2020-05-22,409
143,2020-05-23,428
144,2020-05-24,528
145,2020-05-25,447
146,2020-05-26,482
147,2020-05-27,524
148,2020-05-28,663
149,2020-05-29,851
150,2020-05-30,674
151,2020-05-31,695
152,2020-06-01,653
153,2020-06-02,741
154,2020-06-03,667
155,2020-06-04,607
156,2020-06-05,672
157,2020-06-06,514
158,2020-06-07,511
159,2020-06-08,560
160,2020-06-09,597
161,2020-06-10,615
