CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.,,� Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,VOLATILITY INDEX VOLUME,VOLATILITY INDEX OI,S&P 500 Variance Volume,S&P 500 Variance OI,Corporate Bond High Yield Volume,Corporate Bond High Yield OI,Corporate Bond Liquid Investment Grade Volume,Corporate Bond Liquid Investment Grade OI,CBOE/CBOT 10YR US TREASURY NOTE VOLATILITY INDEX VOLUME,CBOE/CBOT 10YR US TREASURY NOTE VOLATILITY INDEX OI,BIT COIN VOLUME,BIT COIN OI,CBOE Russell 2000 Volatility Index VOLUME,CBOE Russell 2000 Volatility Index OI,CBOE EMERGING MKT VOL INDEX SEC. FUTURES VOLUME,CBOE EMERGING MKT VOL INDEX SEC. FUTURES  OI,Nasdaq-100 Volatility Index VOLUME,Nasdaq-100 Volatility Index OI,CBOE Short Term Volatility Index VOLUME,CBOE Short Term Volatility Index OI,CBOE BRAZIL EFT VOL. INDEX SEC. FUTURE VOLUME,CBOE BRAZIL EFT VOL. INDEX SEC. FUTURE OI,CBOE GOLD ETF VOLATILITY INDEX VOLUME,CBOE GOLD ETF VOLATILITY INDEX OI,CBOE OIL ETF VOL. INDEX SEC. FUTURES VOLUME,CBOE OIL ETF VOL. INDEX SEC. FUTURES OI,CBOE Mini-VIX VOLUME,CBOE Mini-VIX OI,RPX - Radar Logic 28 Day Real Estate Index VOLUME ,RPX - Radar Logic 28 Day Real Estate Index OI,3-Month Variance Volume,3-Month Variance OI,12-Month Variance VOLUME,12-Month Variance OI,CFE US Gas at the Pump VOLUME,CFE US Gas at the Pump OI,CFE Midwest Gas at the Pump VOLUME,CFE Midwest Gas at the Pump OI,CFE Rocky Mountain Gas at the Pump VOLUME,CFE Rocky Mountain Gas at the Pump OI,CFE East Coast Gas at the Pump VOLUME,CFE East Coast Gas at the Pump OI,CFE Gulf Coast Gas at the Pump VOLUME,CFE Gulf Coast Gas at the Pump OI,CFE West Coast Gas at the Pump VOLUME,CFE West Coast Gas at the Pump OI,CHINA INDEX FUTURES VOLUME,CHINA INDEX FUTURES OI,CBOE S&P 500 BUYWRITE INDEX VOLUME,CBOE S&P 500 BUYWRITE INDEX OI,CBOE Nasdaq-100 Volatility Index VOLUME,CBOE Nasdaq-100 Volatility Index OI,DJIA Volatility Index VOLUME,DJIA Volatility Index OI,CBOE Russell 2000 Volatility Index VOLUME,CBOE Russell 2000 Volatility Index OI,Ameribor 7-day Volume,Ameribor 7-day OI,Ameribor 14-day Volume,Ameribor 14-day OI,Ameribor 1-month Volume,Ameribor 1-month OI,Ameribor 3-month Volume,Ameribor 3-month OI,Ameribor Term-30 Volume,Ameribor Term-30 OI,Ameribor Term-90 Volume,Ameribor Term-90 OI,Corp. Bond High Yield Options Volume,Corp. Bond High Yield Options OI,Corp. Bond Liquid Investment Grade Options Volume,Corp. Bond Liquid Investment Grade Options OI
3/26/2004,461,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2004,117,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2004,191,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2004,600,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2004,99,1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/2004,307,1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2004,187,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2004,343,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2004,269,2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2004,139,2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2004,7,2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2004,83,2232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2004,356,2232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2004,338,2479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2004,416,2795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2004,122,2908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2004,175,3070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2004,51,3078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2004,236,3226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2004,1194,3372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2004,594,3484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2004,360,3644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2004,1022,3986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2004,1449,4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2004,384,4449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2004,98,4397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/2004,148,4440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2004,516,4678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2004,488,4779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2004,531,4924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2004,871,5196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2004,235,4988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2004,378,4699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2004,377,4839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2004,78,4879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2004,525,4768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2004,131,4867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2004,469,4949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2004,96,3786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2004,226,3829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2004,1594,3961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2004,772,4313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2004,261,4487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2004,441,4654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2004,97,4734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2004,100,4822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2004,439,4798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2004,292,4788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2004,755,5170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
