TRADE_DT,TIME_STAMP,INDEX,INDEX_VALUE
05/09/22,03:15:01.425,VIX,31.9
05/09/22,03:15:16.219,VIX,31.9
05/09/22,03:15:31.234,VIX,31.9
05/09/22,03:15:46.262,VIX,31.92
05/09/22,03:16:01.324,VIX,31.99
05/09/22,03:16:16.263,VIX,32.04
05/09/22,03:16:31.419,VIX,32.03
05/09/22,03:16:46.159,VIX,32.06
05/09/22,03:17:01.267,VIX,32.01
05/09/22,03:17:16.333,VIX,32.07
05/09/22,03:17:31.341,VIX,32.06
05/09/22,03:17:46.365,VIX,32.08
05/09/22,03:18:01.270,VIX,32.07
05/09/22,03:18:16.326,VIX,32.05
05/09/22,03:18:31.347,VIX,32.05
05/09/22,03:18:46.168,VIX,32.04
05/09/22,03:19:01.338,VIX,32.05
05/09/22,03:19:16.344,VIX,32.07
05/09/22,03:19:31.358,VIX,32.07
05/09/22,03:19:46.327,VIX,32.09
05/09/22,03:20:01.205,VIX,32.09
05/09/22,03:20:16.251,VIX,32.1
05/09/22,03:20:31.264,VIX,32.14
05/09/22,03:20:46.215,VIX,32.16
05/09/22,03:21:01.241,VIX,32.16
05/09/22,03:21:16.349,VIX,32.17
05/09/22,03:21:31.224,VIX,32.17
05/09/22,03:21:46.297,VIX,32.22
05/09/22,03:22:01.258,VIX,32.23
05/09/22,03:22:16.319,VIX,32.26
05/09/22,03:22:31.246,VIX,32.26
05/09/22,03:22:46.365,VIX,32.25
05/09/22,03:23:01.334,VIX,32.26
05/09/22,03:23:16.274,VIX,32.29
05/09/22,03:23:31.296,VIX,32.28
05/09/22,03:23:46.314,VIX,32.3
05/09/22,03:24:01.217,VIX,32.32
05/09/22,03:24:16.261,VIX,32.32
05/09/22,03:24:31.271,VIX,32.31
05/09/22,03:24:46.239,VIX,32.35
05/09/22,03:25:01.304,VIX,32.33
05/09/22,03:25:16.349,VIX,32.34
05/09/22,03:25:31.277,VIX,32.35
05/09/22,03:25:46.337,VIX,32.37
05/09/22,03:26:01.301,VIX,32.36
05/09/22,03:26:16.216,VIX,32.39
05/09/22,03:26:31.217,VIX,32.36
05/09/22,03:26:46.286,VIX,32.31
05/09/22,03:27:01.224,VIX,32.3
05/09/22,03:27:16.337,VIX,32.27
05/09/22,03:27:31.228,VIX,32.29
05/09/22,03:27:46.267,VIX,32.31
05/09/22,03:28:01.263,VIX,32.26
05/09/22,03:28:16.285,VIX,32.29
05/09/22,03:28:31.173,VIX,32.32
05/09/22,03:28:46.244,VIX,32.31
05/09/22,03:29:01.185,VIX,32.31
05/09/22,03:29:16.357,VIX,32.32
05/09/22,03:29:31.225,VIX,32.3
05/09/22,03:29:46.284,VIX,32.26
05/09/22,03:30:01.278,VIX,32.26
05/09/22,03:30:16.256,VIX,32.27
05/09/22,03:30:31.333,VIX,32.25
05/09/22,03:30:46.264,VIX,32.25
05/09/22,03:31:01.316,VIX,32.29
05/09/22,03:31:16.318,VIX,32.29
05/09/22,03:31:31.304,VIX,32.26
