Week, exchange rate

2018-01-14,75
2018-01-21,86
2018-01-28,84
2018-02-04,87
2018-02-11,80
2018-02-18,81
2018-02-25,89
2018-03-04,81
2018-03-11,77
2018-03-18,81
2018-03-25,80
2018-04-01,85
2018-04-08,81
2018-04-15,82
2018-04-22,82
2018-04-29,86
2018-05-06,85
2018-05-13,88
2018-05-20,86
2018-05-27,89
2018-06-03,85
2018-06-10,89
2018-06-17,88
2018-06-24,95
2018-07-01,92
2018-07-08,88
2018-07-15,86
2018-07-22,80
2018-07-29,86
2018-08-05,84
2018-08-12,100
2018-08-19,84
2018-08-26,91
2018-09-02,87
2018-09-09,89
2018-09-16,87
2018-09-23,79
2018-09-30,80
2018-10-07,84
2018-10-14,77
2018-10-21,71
2018-10-28,75
2018-11-04,69
2018-11-11,73
2018-11-18,65
2018-11-25,71
2018-12-02,74
2018-12-09,77
2018-12-16,73
2018-12-23,64
2018-12-30,64
2019-01-06,73
2019-01-13,69
2019-01-20,68
2019-01-27,67
2019-02-03,66
2019-02-10,68
2019-02-17,68
2019-02-24,74
2019-03-03,71
2019-03-10,71
2019-03-17,71
2019-03-24,72
2019-03-31,73
2019-04-07,71
2019-04-14,65
2019-04-21,69
2019-04-28,68
2019-05-05,69
2019-05-12,75
2019-05-19,74
2019-05-26,70
2019-06-02,79
2019-06-09,72
2019-06-16,71
2019-06-23,73
2019-06-30,66
2019-07-07,68
2019-07-14,67
2019-07-21,68
2019-07-28,77
2019-08-04,86
2019-08-11,75
2019-08-18,76
2019-08-25,78
2019-09-01,68
2019-09-08,67
2019-09-15,66
2019-09-22,64
2019-09-29,70
2019-10-06,58
2019-10-13,64
2019-10-20,62
2019-10-27,57
2019-11-03,61
2019-11-10,58
2019-11-17,54
2019-11-24,52
2019-12-01,60
2019-12-08,61
2019-12-15,62
2019-12-22,51
2019-12-29,56
2020-01-05,62
2020-01-12,56
2020-01-19,57
2020-01-26,54
2020-02-02,59
2020-02-09,56
2020-02-16,64
2020-02-23,66
2020-03-01,67
2020-03-08,85
2020-03-15,86
2020-03-22,79
2020-03-29,64
2020-04-05,59
2020-04-12,57
2020-04-19,57
2020-04-26,57
2020-05-03,54
2020-05-10,51
2020-05-17,47
2020-05-24,49
2020-05-31,48
2020-06-07,50
2020-06-14,50
2020-06-21,49
2020-06-28,48
2020-07-05,51
2020-07-12,49
2020-07-19,49
2020-07-26,53
2020-08-02,53
2020-08-09,45
2020-08-16,45
2020-08-23,45
2020-08-30,49
2020-09-06,47
2020-09-13,45
2020-09-20,44
2020-09-27,47
2020-10-04,49
2020-10-11,46
2020-10-18,44
2020-10-25,44
2020-11-01,39
2020-11-08,50
2020-11-15,47
2020-11-22,44
2020-11-29,53
2020-12-06,53
2020-12-13,51
2020-12-20,48
2020-12-27,43
2021-01-03,48
2021-01-10,45
2021-01-17,44
2021-01-24,47
2021-01-31,49
2021-02-07,48
2021-02-14,43
2021-02-21,49
2021-02-28,53
2021-03-07,52
2021-03-14,50
2021-03-21,50
2021-03-28,51
2021-04-04,50
2021-04-11,49
2021-04-18,50
2021-04-25,52
2021-05-02,53
2021-05-09,54
2021-05-16,45
2021-05-23,44
2021-05-30,44
2021-06-06,46
2021-06-13,51
2021-06-20,49
2021-06-27,48
2021-07-04,52
2021-07-11,53
2021-07-18,51
2021-07-25,52
2021-08-01,45
2021-08-08,46
2021-08-15,46
2021-08-22,48
2021-08-29,45
2021-09-05,48
2021-09-12,47
2021-09-19,50
2021-09-26,55
2021-10-03,55
2021-10-10,51
2021-10-17,46
2021-10-24,46
2021-10-31,45
2021-11-07,46
2021-11-14,52
2021-11-21,47
2021-11-28,53
2021-12-05,55
2021-12-12,54
2021-12-19,52
2021-12-26,44
2022-01-02,48
2022-01-09,48
2022-01-16,44
2022-01-23,46
2022-01-30,48
2022-02-06,46
2022-02-13,47
2022-02-20,54
2022-02-27,83
2022-03-06,79
2022-03-13,62
2022-03-20,60
2022-03-27,60
2022-04-03,59
2022-04-10,59
2022-04-17,57
2022-04-24,64
2022-05-01,62
2022-05-08,70
2022-05-15,63
2022-05-22,57
2022-05-29,56
2022-06-05,62
2022-06-12,74
2022-06-19,71
2022-06-26,68
2022-07-03,76
2022-07-10,87
2022-07-17,82
2022-07-24,74
2022-07-31,69
2022-08-07,66
2022-08-14,65
2022-08-21,69
2022-08-28,67
2022-09-04,73
2022-09-11,69
2022-09-18,78
2022-09-25,99
2022-10-02,83
2022-10-09,78
2022-10-16,79
2022-10-23,73
2022-10-30,71
2022-11-06,68
2022-11-13,70
2022-11-20,61
2022-11-27,66
2022-12-04,65
2022-12-11,68
2022-12-18,58
2022-12-25,56
2023-01-01,60
