Date	22-Oct	22-Nov	22-Dec	23-Jan	23-Feb	23-Mar	23-Apr	23-May	23-Jun	23-Jul	23-Aug	23-Sep	Total
1	0	0.32	1.76	0.01	0	0.02	0	0	0	0	0	0	
2	0	0.05	0.01	0.58	0	0	0	0	0	0	0	0	
3	0	0.01	1.2	0.04	0.97	0	0	0	0	0	0	0	
4	0	0	0.13	1.86	2.15	0	0	0	0	0	0	0	
5	0.01	0.06	0.4	1.1	0.25	0	0	0	0	0	0	0	
6	0	0.17	0.31	0	0.01	0	0	0	0	0	0	0	
7	0	0.26	0	1.67	0	0	0	0	0	0	0	0	
8	0	1.87	0.25	1.48	0.01	0	0	0	0	0	0	0	
9	0	0.05	0.06	3.63	0.01	0	0	0	0	0	0	0	
10	0	0.01	3.74	0.45	0.01	0	0	0	0	0	0	0	
11	0.01	0	1.5	1.52	0.27	0	0	0	0	0	0	0	
12	0	0.01	0.03	0	0	0	0	0	0	0	0	0	
13	0	0	0	1.47	0.01	0	0	0	0	0	0	0	
14	0	0.01	0.01	2.78	0.01	0	0	0	0	0	0	0	
15	0	0	0	1.04	0	0	0	0	0	0	0	0	
16	0	0.01	0.01	0.95	0	0	0	0	0	0	0	0	
17	0.01	0	0.01	0.01	0	0	0	0	0	0	0	0	
18	0.01	0	0.01	0.19	0	0	0	0	0	0	0	0	
19	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0	
20	0	0	0	0.02	0	0	0	0	0	0	0	0	
21	0	0	0	0	0	0	0	0	0	0	0	0	
22	0.01	0.01	0.01	0.01	0.03	0	0	0	0	0	0	0	
23	0	0	0	0	0.72	0	0	0	0	0	0	0	
24	0	0	0.01	0	1.41	0	0	0	0	0	0	0	
25	0	0.01	0	0.01	0.01	0	0	0	0	0	0	0	
26	0	0	0.11	0	1.05	0	0	0	0	0	0	0	
27	0	0	2.59	0	1	0	0	0	0	0	0	0	
28	0	0	0.02	0	1.07	0	0	0	0	0	0	0	
29	0.01	0.01	0.55	0.04	0	0	0	0	0	0	0		
30	0	0.01	1.75	0	0	0	0	0	0	0	0		
31	0	5.23	0	0	0	0	0	0	0	0			
Total	0.06	2.88	19.71	18.87	8.99	0.02	0	0	0	0	0	0	50.53
WATER	YEAR	2021/2022											
Date	21-Oct	21-Nov	21-Dec	22-Jan	22-Feb	22-Mar	22-Apr	22-May	22-Jun	22-Jul	22-Aug	22-Sep	Total
1	0	0.58	0.01	0	0.01	0	0	0	0	0	0	0	
2	0	0.03	0.01	0.01	0	0	0	0	0	0	0	0	
3	0	0	0	0.51	0	0.07	0	0	0	0	0	0	
4	0	0.08	0	0.14	0	0.08	0	0	0	0	0	0	
5	0	0.01	0	0	0	0.09	0	0	0.03	0	0	0	
6	0	0	0.01	0	0	0	0	0	0	0	0	0	
7	0	0	0.1	0.04	0	0	0	0	0	0	0	0	
8	0	0.32	0	0	0	0	0	0	0	0	0	0	
9	0	0.94	0.08	0	0	0	0	0	0	0	0	0	
10	0	0	0.01	0.01	0	0	0	0	0	0	0	0	
11	0	0.01	0.01	0.01	0	0	0.36	0	0	0	0	0	
12	0	0.01	1.48	0.01	0	0	0	0	0	0	0	0	
13	0	0.01	6.86	0	0	0.02	0	0	0	0	0	0	
14	0	0.01	0.31	0.01	0	0	0.08	0	0	0	0	0	
15	0	0	1.34	0	0	0.01	0.02	0	0	0	0	0	
16	0	0.01	0.92	0.01	0	0	1.44	0	0	0	0	0	
17	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0	
18	0	0	0.01	0	0	0	0	0	0	0	0	1.5	
19	0	0.01	0	0	0	0.09	0.15	0	0	0	0	0.02	
20	0	0	0	0.01	0	0	0.21	0	0	0	0	0	
21	0.24	0.01	0.42	0.01	0.02	0	0.65	0	0	0	0	0.02	
22	0.45	0	1.09	0	0.08	0	0.13	0	0	0	0	0	
23	0.11	0.01	1.45	0	0	0	0	0	0	0	0	0	
24	5.69	0.01	0.83	0.01	0	0	0	0	0	0	0	0	
25	1	0	0.9	0	0	0	0	0	0	0	0	0	
26	0	0	0.22	0.01	0	0	0	0	0	0	0	0	
27	0	0	0.63	0	0	1.04	0	0	0	0	0	0	
28	0.01	0.01	0.04	0	0	0.71	0	0	0	0	0	0	
29	0.01	0.01	0.63	0	0	0	0	0	0	0	0	0	
30	0	0	0	0	0	0	0	0	0	0	0		
31	0	0.01	0.01	0	0	0	0	0	0	0			
Total	7.51	2.08	17.38	0.81	0.11	2.11	3.04	0	0.03	0	0	1.54	34.61
SAN	LORENZO	VALLEY	WATER	DISTRICT									
MONTHLY	RAINFALL	DATA	SUMMARY										
DATA	COLLECTED	AT	SLVWD	OFFICE	13060	HIGHWAY	"9,"	BOULDER	CREEK				
4													
3/1/23													
WATER	YEAR	2020/2021											
Date	20-Oct	20-Nov	20-Dec	21-Jan	21-Feb	21-Mar	21-Apr	21-May	21-Jun	21-Jul	21-Aug	21-Sep	Total
1	0	0	0	0	0.2	0	0	0	0	0	0	0	0.2
2	0	0	0	0.24	0.72	0	0	0	0	0	0	0	0.96
3	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0.02
4	0	0	0	0.64	0	0	0	0	0	0	0	0	0.64
5	0	0	0	0	0	0.12	0	0	0	0	0	0	0.12
6	0	0.07	0	0	0.01	0	0	0	0	0	0	0	0.08
7	0	0.03	0	0.01	0	0	0	0	0	0	0	0	0.04
8	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01
9	0	0	0	0.01	0	0.68	0	0	0	0	0	0	0.69
10	0	0	0	0	0.01	0.32	0	0	0	0	0	0	0.33
11	0	0	0.41	0.01	0.48	0.49	0	0	0	0	0	0	1.39
12	0	0	0.15	0	0.01	0	0	0	0	0	0	0	0.16
13	0	0.22	0.74	0.01	0.07	0	0	0	0	0	0	0	1.04
14	0	0.01	0.02	0	0.03	0.45	0	0	0	0	0	0	0.51
15	0	0.01	0	0.01	0.08	0.16	0	0	0	0	0	0	0.26
16	0	0.01	0.02	0	0	0.01	0	0	0	0	0	0	0.04
17	0	0.79	0.44	0	0	0	0	0	0	0	0	0	1.23
18	0	0.5	0	0	0	0.74	0	0	0	0	0	0	1.24
19	0	0	0.01	0	0.02	0	0	0	0	0	0	0	0.03
20	0	0.01	0.01	0	0.02	0.01	0	0	0	0	0	0	0.05
21	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0.02
22	0	0	0.01	0.28	0	0	0	0	0.03	0	0	0	0.32
23	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01
24	0	0.01	0	0.24	0	0	0	0	0	0	0	0	0.25
25	0	0	0.47	0	0	0	0.04	0	0	0	0	0	0.51
26	0	0.01	0.03	1.84	0	0	0.01	0	0	0	0	0	1.89
27	0	0	0.01	2.5	0	0	0	0	0	0	0	0	2.51
28	0	0	0.11	2.16	0	0	0	0	0	0	0	0	2.27
29	0	0.01	0	0.11	0	0	0	0	0	0	0	0	0.12
30	0	0	0.07	0	0	0	0	0	0	0	0	0	0.07
31	0	0	0.13	0	0	0	0	0	0	0	0	0	0.13
Total	0	1.69	2.65	8.07	1.67	2.98	0.05	0	0.03	0	0	0	17.14
WATER	YEAR	2019/2020											
Date	19-Oct	19-Nov	19-Dec	20-Jan	20-Feb	20-Mar	20-Apr	20-May	20-Jun	20-Jul	20-Aug	20-Sep	Total
1	0	0	3.3	0	0	0	0	0	0	0	0	0	3.3
2	0	0	2.29	0	0	0	0	0	0	0	0	0	2.29
3	0	0	0.04	0	0	0	0	0	0	0	0	0	0.04
4	0	0	0.8	0.01	0	0	0	0	0	0	0	0	0.81
5	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0.02
6	0	0	1.41	0	0	0	0	0	0	0	0	0	1.41
7	0	0	2.23	0	0	0.1	0	0	0	0	0	0	2.33
8	0	0	0.49	0.02	0	0.01	0	0	0	0	0	0	0.52
9	0	0	0	0.17	0	0	0	0	0	0	0	0	0.17
10	0	0	0.12	0.01	0	0	0	0	0	0	0	0	0.13
11	0	0	0.18	0.03	0	0.01	0	0	0	0	0	0	0.22
12	0	0	0.04	0.01	0	0	0	0	0	0	0	0	0.05
13	0	0	0.02	0.03	0.01	0	0	0	0	0	0	0	0.06
14	0	0	0.08	0.07	0	1.52	0	0	0	0	0	0	1.67
15	0	0.01	0.01	0.01	0	0.28	0	0	0	0	0	0	0.31
16	0	0	0	1.33	0	0.2	0	0	0	0	0	0	1.53
17	0	0	0.01	0.02	0	0.05	0	0	0	0	0	0	0.08
18	0	0	1.22	0	0	0.01	0	0	0	0	0	0	1.23
19	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01
20	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0.03
21	0	0	0	0.22	0	0.03	0	0	0	0	0	0	0.25
22	0	0.01	1.53	0.12	0	0.01	0	0	0	0	0	0	1.67
23	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0.01	0.03	0	0.01	0.15	0	0	0	0	0	0	0.2
25	0	0	0.23	0.01	0	0.04	0	0	0	0	0	0	0.28
26	0	1.3	0.02	0.06	0	0.1	0	0	0	0	0	0	1.48
27	0	0.29	0	0	0	0	0	0	0	0	0	0	0.29
28	0	0.02	0.01	0.01	0	0.02	0	0	0	0	0	0	0.06
29	0	0	0.26	0.01	0	0.03	0	0	0	0	0	0	0.3
30	0	1	0.01	0	0	0	0	0	0	0	0	1.01	
31	0	0.01	0	0	0	0	0	0.01					
Total	0.01	2.65	14.36	2.15	0.02	2.57	0	0	0	0	0	0	21.76
5													
3/1/23													
WATER	YEAR	2018/2019											
Date	18-Oct	18-Nov	18-Dec	19-Jan	19-Feb	19-Mar	19-Apr	19-May	19-Jun	19-Jul	19-Aug	19-Sep	Total
1	0	0	0.18	0	0.78	0.06	0.03	0	0.01	0	0	0	1.06
2	0	0	0.01	0	2.94	1.24	0.33	0	0.02	0	0.01	0	4.55
3	0	0	0	0	1.15	0.09	0	0	0	0	0	0	1.24
4	0.01	0	0.24	0	1.76	0.01	0	0	0	0	0	0	2.02
5	0	0	0.26	1.39	0.33	0.51	0.33	0	0	0	0	0	2.82
6	0	0	0	4.51	0.01	2.21	0.03	0.01	0	0	0	0	6.77
7	0	0	0.01	0	0.01	0.07	0	0	0	0	0	0	0.09
8	0	0	0	0.23	0.74	0.06	0	0	0	0	0	0	1.03
9	0	0	0.01	0.62	0.58	0.69	0	0	0	0	0	0	1.9
10	0	0	0	0	0.38	0.35	0	0	0	0.01	0	0	0.74
11	0	0	0.01	0.47	0.02	0	0	0	0	0	0	0	0.5
12	0	0	0	0.01	0.26	0.01	0	0	0	0	0	0	0.28
13	0	0	0.01	0	3.6	0	0	0	0	0	0	0	3.61
14	0	0	0	0.15	1.48	0	0	0	0	0	0	0	1.63
15	0	0	0.01	2.44	0.65	0	0	1.8	0	0	0	0	4.9
16	0	0	1.77	2.41	0.49	0.01	0.01	0.38	0	0	0	0.07	5.14
17	0	0	0.2	0.48	0.17	0	0	0.01	0.01	0	0.02	0	0.89
18	0	0	0	0	0	0	0	1.03	0.01	0	0.04	0	1.08
19	0	0	0	0	0.01	0.02	0	0.59	0.01	0.02	0.02	0	0.67
20	0	0	0	0.47	0.01	0.96	0	0	0.02	0.01	0	0.01	1.48
21	0	1.72	0.01	0.02	0	0.01	0	0.29	0	0	0.01	0	2.06
22	0	0.99	0.01	0.01	0	0.09	0	0.06	0.01	0	0	0	1.17
23	0	0.82	0	0	0	0.34	0	0	0	0	0.01	0	1.17
24	0	0.04	0.55	0.01	0	0	0	0	0.01	0	0	0	0.61
25	0	0	0.08	0.01	0.01	0.68	0	0	0	0	0	0	0.78
26	0	0	0.01	0.01	1.84	0.12	0	0.12	0	0	0	0	2.1
27	0	0.26	0	0	1.97	0.64	0	0	0	0	0	0	2.87
28	0	1.72	0	0	0.02	0.11	0	0	0	0	0	0	1.85
29	0	1.33	0	0	0.01	0	0	0	0	0	0	1.34	
30	0	0	0	0.23	0	0	0	0	0	0	0.01	0.24	
31	0	0	0.45	0	0	0.01	0	0.46					
TOTAL	0.01	6.88	3.37	13.92	19.21	8.29	0.73	4.29	0.1	0.05	0.11	0.09	57.05
WATER	YEAR	2017/2018											
Date	17-Oct	17-Nov	17-Dec	18-Jan	18-Feb	18-Mar	18-Apr	18-May	18-Jun	18-Jul	18-Aug	18-Sep	Total
1	0	0	0.01	0	0.01	2.44	0	0	0	0	0	0	2.46
2	0	0	0	0	0	0.55	0	0	0	0	0	0	0.55
3	0	0.15	0.03	0.4	0	0.19	0	0	0	0	0	0	0.77
4	0	0.03	0	0.2	0	0.01	0	0	0	0	0	0	0.24
5	0	0	0	0.38	0.01	0.01	0.3	0	0	0	0	0	0.7
6	0	0.01	0	0.1	0	0	1.26	0	0	0	0	0	1.37
7	0	0	0.01	0.01	0	0	0.86	0	0	0	0	0	0.88
8	0	0.58	0	3.66	0	0.04	0	0	0	0	0	0	4.28
9	0	0.79	0.01	0.61	0	0	0	0	0	0	0	0	1.41
10	0	0.06	0.01	0.01	0	0	0	0	0	0	0	0	0.08
11	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25
12	0	0	0.01	0	0	0.56	0.08	0	0	0	0	0	0.65
13	0	0.08	0	0	0	0.9	0	0	0	0	0	0	0.98
14	0	0	0.01	0.01	0	0.3	0	0	0	0	0	0	0.32
15	0	0.12	0	0.01	0	0.67	0.08	0	0	0	0	0	0.88
16	0	2.46	0.01	0	0	0.27	0.25	0	0	0	0	0	2.99
17	0	0.02	0	0	0	0.13	0	0	0	0	0	0	0.15
18	0	0.01	0	0.16	0.01	0	0	0	0	0	0	0	0.18
19	0.05	0.01	0	0.01	0.01	0	0	0	0	0	0	0	0.08
20	0.16	0	0.14	0.01	0	0.33	0	0	0	0	0	0	0.64
21	0	0	0.01	0	0.03	0	0	0	0	0	0	0	0.04
22	0	0.01	0.01	0.57	0.06	0.33	0	0	0	0	0	0	0.98
23	0	0	0	0	0	0.04	0	0	0	0	0	0	0.04
24	0	0	0	0.59	0	0.01	0	0	0	0	0	0	0.6
25	0	0.01	0	0.06	0	0	0	0.04	0	0	0	0	0.11
26	0	0.76	0	0	0.3	0	0	0	0	0	0	0	1.06
27	0	0.45	0.01	0	0	0	0	0	0	0	0	0	0.46
28	0	0.01	0	0.01	0.43	0	0	0	0	0	0	0	0.45
29	0	0	0.01	0.01	0	0.01	0	0	0	0	0	0.03	
30	0	0.01	0.01	0	0	0	0	0	0	0	0	0.02	
31	0	0	0	0	0	0	0	0					
TOTAL	0.21	5.57	0.29	6.81	0.86	6.78	3.09	0.04	0	0	0	0	23.65
6													
3/1/23													
WATER	YEAR	2016/2017											
Date	16-Oct	16-Nov	16-Dec	17-Jan	17-Feb	17-Mar	17-Apr	17-May	17-Jun	17-Jul	17-Aug	17-Sep	Total
1	0	0.11	0	0.02	0.08	0.01	0	0	0	0	0	0	0.22
2	0.01	0	0	0.28	1.33	0	0	0	0	0	0	0	1.62
3	0.01	0.01	0	4.71	1.5	0.01	0	0	0	0	0	0	6.24
4	0	0.01	0.01	1.67	0.35	0.84	0	0	0	0	0	0.01	2.89
5	0	0.01	0	0.01	1	0.37	0	0	0	0	0	0	1.39
6	0	0	0	0.01	1.52	0.24	1.13	0	0	0	0	0	2.9
7	0	0	0.39	3.04	1.73	0	2.61	0	0	0	0	0	7.77
8	0	0	1.37	3.54	0.68	0.01	0.37	0.02	0	0	0	0	5.99
9	0	0.01	0.24	0.61	2.18	0	0	0.03	0	0	0	0	3.07
10	0	0.01	1.49	3.51	0.07	0	0	0	0	0	0	0	5.08
11	0	0.01	0	0.16	0	0.01	0.11	0	0	0	0	0	0.29
12	0	0	0	0.37	0.01	0	0.81	0	0	0	0	0	1.19
13	0	0.01	0.09	0	0	0	0.77	0	0	0	0	0	0.87
14	1.31	0	0.49	0.01	0	0	0	0	0	0	0	0	1.81
15	1.34	0	4.71	0	0	0.01	0	0	0	0	0	0	6.06
16	2.86	0	0.02	0.01	0.93	0	0	0	0	0	0	0	3.82
17	0	0.01	0	0.01	2.63	0	1.1	0	0	0	0	0	3.75
18	0.01	0	0.01	2.47	0.24	0	0	0	0	0	0	0	2.73
19	0.01	1.88	0.01	0.34	0.54	0	0	0	0	0	0	0	2.78
20	0	0.44	0.01	2.24	4.16	1.47	0.25	0	0	0	0	0	8.57
21	0	0.01	0	0.54	0.87	1.03	0	0	0	0	0	0	2.45
22	0.01	0.02	0.01	3.15	0.01	0.68	0	0	0	0	0	0	3.88
23	0.01	0.15	0.78	0.36	0.01	0	0	0	0	0	0	0	1.31
24	0.05	0.01	0.01	0.01	0	1.59	0	0	0	0	0	0	1.67
25	0.24	0	0	0	0.01	0.01	0	0	0	0	0	0	0.26
26	0.01	1.02	0.01	0	0.03	0.13	0	0	0	0	0	0	1.2
27	0.47	0.42	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0.93
28	0.38	0.1	0.01	0.01	0	0	0	0	0	0	0	0	0.5
29	0.12	0	0	0.01	0	0	0	0	0	0	0	0.13	
30	1.07	0.01	0	0.01	0	0	0	0	0	0	0	1.09	
31	0.5	0.02	0.01	0	0	0	0	0.53					
TOTAL	8.41	4.25	9.69	27.12	19.89	6.42	7.15	0.05	0	0	0	0.01	82.99
WATER	YEAR	2015/2016											
Date	15-Oct	15-Nov	15-Dec	16-Jan	16-Feb	16-Mar	16-Apr	16-May	16-Jun	16-Jul	16-Aug	16-Sep	Total
1	0.06	0	0	0.01	0	0	0	0	0	0	0	0	0.07
2	0.01	1.02	0.01	0.12	1.35	0	0	0	0	0	0	0	2.51
3	0.01	0.01	1.2	1.8	1.1	0	0	0	0	0	0	0	4.12
4	0	0	0	4.8	0.51	0	0	0	0	0	0	0	5.31
5	0	0	0.01	0	0.12	0.95	0	0.03	0	0	0	0	1.11
6	0	0.01	0	0	1.11	0.14	0	0.16	0	0	0	0	1.42
7	0.01	0	0	1.12	5.3	0	2.61	0.07	0	0	0	0	9.11
8	0	0.11	0.01	3.3	0.7	0	0.3	0	0	0	0	0	4.42
9	0	0.35	0.01	2.7	3.15	0	0	0	0	0	0	0	6.21
10	0	0	1.06	0.96	0.3	0.24	0	0	0	0	0	0	2.56
11	0	0.01	0.24	2.05	0	2.03	0	0	0	0	0	0	4.33
12	0	0	0.01	0.58	0	2.06	0.75	0	0	0	0	0	3.4
13	0	0.01	1.24	0	0	3.01	0.85	0	0	0	0	0.04	5.15
14	0	0	0.01	0	0	0.08	0	0	0	0	0	0	0.09
15	0.02	0.56	0.01	0	0	0	0	0	0	0	0	0	0.59
16	0	0	0.01	0	1.21	0	0	0	0	0	0	0	1.22
17	0	0	0.01	0.06	1.35	0	1.1	0	0	0	0	0	2.52
18	0	0	0.24	2.38	1.82	0	0	0	0	0	0	0	4.44
19	0.01	0.01	0.08	3.38	0	0	0	0	0	0	0	0	3.48
20	0	0	0.65	0.33	3.25	0.25	0.25	0	0	0	0	0	4.73
21	0	0	1.8	2.85	2	0.3	0	0	0	0	0	0	6.95
22	0.01	0.01	0.88	0.8	0.2	0.18	0.73	0	0	0	0	0	2.81
23	0.01	0	0	0.13	0	0	0	0	0	0	0	0	0.14
24	0	0.32	0.33	0	0.05	0	0	0	0	0	0	0	0.7
25	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0.1
26	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01
27	0	0	0.03	0	0	0	0.05	0	0	0	0	0	0.08
28	0.01	0.01	0.12	0	0	0	0	0	0	0	0	0	0.14
29	0	0	0.01	0	0	0	0	0	0	0	0		
30	0	0	0.01	0	0	0	0	0	0	0	0		
31	0	0	0	0	0	0	0	0					
