Date,Flow
4/6/16,112
4/7/16,111
4/8/16,106
4/9/16,104
4/10/16,104
4/11/16,100
4/12/16,95.7
4/13/16,93.5
4/14/16,92.9
4/15/16,88.4
4/16/16,84.2
4/17/16,79.7
4/18/16,75.3
4/19/16,73.1
4/20/16,70
4/21/16,67.1
4/22/16,79.9
4/23/16,89.2
4/24/16,74.7
4/25/16,67.2
4/26/16,62.5
4/27/16,61.4
4/28/16,60.8
4/29/16,56.5
4/30/16,54.9
5/1/16,52.4
5/2/16,52.9
5/3/16,52
5/4/16,51.7
5/5/16,52.6
5/6/16,55.5
5/7/16,58.3
5/8/16,57.3
5/9/16,54.2
5/10/16,51.8
5/11/16,51.5
5/12/16,47.3
5/13/16,46.3
5/14/16,46.5
5/15/16,47.4
5/16/16,45.8
5/17/16,44.2
5/18/16,41.6
5/19/16,39.9
5/20/16,40.7
5/21/16,44.1
5/22/16,46
5/23/16,45.3
5/24/16,41.6
5/25/16,38.8
5/26/16,37.9
5/27/16,39.5
5/28/16,39.2
5/29/16,39.2
5/30/16,41.5
5/31/16,33.9
6/1/16,33
6/2/16,31.8
6/3/16,35
6/4/16,37.4
6/5/16,36.2
6/6/16,36.1
6/7/16,30.5
6/8/16,28.3
6/9/16,27.5
6/10/16,30.5
6/11/16,30.7
6/12/16,31.5
6/13/16,30.1
6/14/16,25.5
6/15/16,26.5
6/16/16,27.3
6/17/16,30
6/18/16,32.5
6/19/16,28.8
6/20/16,23.7
6/21/16,20.2
6/22/16,19.9
6/23/16,19.5
6/24/16,18.8
6/25/16,17.4
6/26/16,20.9
6/27/16,18.7
6/28/16,13.9
6/29/16,15.7
6/30/16,15.6
7/1/16,15.4
7/2/16,14.8
7/3/16,16.8
7/4/16,15.3
7/5/16,14.8
7/6/16,13.3
7/7/16,14.6
7/8/16,12.9
7/9/16,12.6
7/10/16,11.1
7/11/16,10.2
7/12/16,13.2
7/13/16,9.13
7/14/16,8.63
7/15/16,9.21
7/16/16,11.5
7/17/16,11.1
7/18/16,9.96
7/19/16,7.32
7/20/16,7.21
7/21/16,7.42
7/22/16,7.61
7/23/16,7.38
7/24/16,7.06
7/25/16,6.6
7/26/16,6.56
7/27/16,5.97
7/28/16,5.58
7/29/16,6.13
7/30/16,12.3
7/31/16,12.2
8/1/16,12.3
8/2/16,12.2
8/3/16,11.9
8/4/16,11.9
8/5/16,12.5
8/6/16,12.1
8/7/16,11.7
8/8/16,12.1
8/9/16,11.9
8/10/16,8.68
8/11/16,9.05
8/12/16,8.68
8/13/16,8.15
8/14/16,7.84
8/15/16,8.89
8/16/16,8.26
8/17/16,8.41
8/18/16,8.27
8/19/16,8.27
8/20/16,8.25
8/21/16,8.08
8/22/16,8.64
8/23/16,8.4
8/24/16,8.38
8/25/16,10.7
8/26/16,9.66
8/27/16,9.82
8/28/16,8.97
8/29/16,9.3
8/30/16,9.18
8/31/16,8.98
9/1/16,8.65
9/2/16,8.89
9/3/16,8.98
9/4/16,8.73
9/5/16,8.69
9/6/16,8.74
9/7/16,10
9/8/16,9.23
9/9/16,12.1
9/10/16,14.7
9/11/16,14.2
9/12/16,12.4
9/13/16,6.74
9/14/16,6.62
9/15/16,6.4
9/16/16,6.36
9/17/16,6.52
9/18/16,6.47
9/19/16,6.44
9/20/16,6.42
9/21/16,6.51
9/22/16,6.25
9/23/16,6.51
9/24/16,6.32
9/25/16,6.5
9/26/16,6.49
9/27/16,6.32
9/28/16,6.38
9/29/16,6.59
9/30/16,6.69
10/1/16,6.54
10/2/16,6.59
10/3/16,7.51
10/4/16,9.04
10/5/16,8.11
10/6/16,8.73
10/7/16,8.09
10/8/16,8.56
10/9/16,8.61
10/10/16,8.76
10/11/16,8.79
10/12/16,8.51
10/13/16,8.3
10/14/16,41.8
10/15/16,76.8
10/16/16,324
10/17/16,141
10/18/16,55.5
10/19/16,36.5
10/20/16,25.9
10/21/16,21.4
10/22/16,19.4
10/23/16,17.2
10/24/16,15.1
10/25/16,14.9
10/26/16,16.2
10/27/16,15.6
10/28/16,50.1
10/29/16,38.3
10/30/16,63
10/31/16,87.4
11/1/16,65.8
11/2/16,45.6
11/3/16,35.3
11/4/16,29.9
11/5/16,25.1
11/6/16,20.8
11/7/16,19
11/8/16,17.5
11/9/16,17.4
11/10/16,16.8
11/11/16,15.3
11/12/16,15.2
11/13/16,15.9
11/14/16,15.8
11/15/16,15.9
11/16/16,16.2
11/17/16,15.8
11/18/16,18
11/19/16,24.2
11/20/16,133
11/21/16,86.2
11/22/16,52.5
11/23/16,42.2
11/24/16,33.8
11/25/16,30.1
11/26/16,54.6
11/27/16,106
11/28/16,85.9
11/29/16,57.6
11/30/16,43.3
12/1/16,37.2
12/2/16,33.7
12/3/16,30.9
12/4/16,31.5
12/5/16,29.4
12/6/16,28.2
12/7/16,27.6
12/8/16,172
12/9/16,161
12/10/16,469
12/11/16,376
12/12/16,179
12/13/16,130
12/14/16,119
12/15/16,1650
12/16/16,1970
12/17/16,373
12/18/16,241
12/19/16,188
12/20/16,159
12/21/16,139
12/22/16,125
12/23/16,164
12/24/16,155
12/25/16,126
12/26/16,116
12/27/16,108
12/28/16,101
12/29/16,97
12/30/16,93
12/31/16,88.9
1/1/17,84.8
1/2/17,88.1
1/3/17,549
1/4/17,4160
1/5/17,1110
1/6/17,630
1/7/17,896
1/8/17,5270
1/9/17,4080
1/10/17,3870
1/11/17,4270
1/12/17,1590
1/13/17,1100
1/14/17,761
1/15/17,591
1/16/17,478
1/17/17,402
1/18/17,714
1/19/17,2010
1/20/17,3840
1/21/17,1810
1/22/17,4830
1/23/17,2340
1/24/17,1470
1/25/17,1080
1/26/17,883
1/27/17,745
1/28/17,647
1/29/17,575
1/30/17,518
1/31/17,469
2/1/17,434
2/2/17,665
2/3/17,1270
2/4/17,1320
2/5/17,996
2/6/17,2090
2/7/17,8240
2/8/17,2920
2/9/17,3090
2/10/17,3070
2/11/17,1530
2/12/17,1130
2/13/17,934
2/14/17,819
2/15/17,745
2/16/17,874
2/17/17,1810
2/18/17,2240
2/19/17,1330
2/20/17,5940
2/21/17,3950
2/22/17,1790
2/23/17,1320
2/24/17,1100
2/25/17,974
2/26/17,894
2/27/17,817
2/28/17,741
3/1/17,668
3/2/17,610
3/3/17,558
3/4/17,514
3/5/17,677
3/6/17,546
3/7/17,485
3/8/17,437
3/9/17,402
3/10/17,372
3/11/17,343
3/12/17,316
3/13/17,298
3/14/17,282
3/15/17,266
3/16/17,254
3/17/17,240
3/18/17,231
3/19/17,227
3/20/17,278
3/21/17,978
3/22/17,815
3/23/17,537
3/24/17,763
3/25/17,959
3/26/17,670
3/27/17,548
3/28/17,455
3/29/17,400
3/30/17,358
3/31/17,325
4/1/17,297
4/2/17,277
4/3/17,260
4/4/17,242
4/5/17,231
4/6/17,231
4/7/17,902
4/8/17,700
4/9/17,491
4/10/17,391
4/11/17,351
4/12/17,381
4/13/17,671
4/14/17,464
4/15/17,387
4/16/17,379
4/17/17,495
4/18/17,449
4/19/17,389
4/20/17,350
4/21/17,318
4/22/17,294
4/23/17,276
4/24/17,262
4/25/17,252
4/26/17,241
4/27/17,231
4/28/17,220
4/29/17,205
4/30/17,197
5/1/17,190
5/2/17,183
5/3/17,174
5/4/17,168
5/5/17,166
5/6/17,160
5/7/17,156
5/8/17,155
5/9/17,154
5/10/17,147
5/11/17,143
5/12/17,135
5/13/17,125
5/14/17,122
5/15/17,120
5/16/17,117
5/17/17,116
5/18/17,114
5/19/17,111
5/20/17,109
5/21/17,107
5/22/17,109
5/23/17,113
5/24/17,115
5/25/17,115
5/26/17,111
5/27/17,102
5/28/17,98.9
5/29/17,96.4
5/30/17,94.1
5/31/17,96.8
6/1/17,97
6/2/17,96.1
6/3/17,92.6
6/4/17,90.3
6/5/17,87.4
6/6/17,86
6/7/17,86
6/8/17,86.7
6/9/17,89.6
6/10/17,87.2
6/11/17,84.5
6/12/17,81
6/13/17,79
6/14/17,76.7
6/15/17,73.9
6/16/17,70
6/17/17,68.2
6/18/17,66.2
6/19/17,64.5
6/20/17,66.9
6/21/17,62.7
6/22/17,61.3
6/23/17,59.6
6/24/17,57.9
6/25/17,56.2
6/26/17,54.3
6/27/17,52.9
6/28/17,53.5
6/29/17,55.7
6/30/17,54.8
7/1/17,53.7
7/2/17,57.2
7/3/17,57.6
7/4/17,57.2
7/5/17,52.6
7/6/17,50.4
7/7/17,48.1
7/8/17,45.4
7/9/17,44.4
7/10/17,45.7
7/11/17,46
7/12/17,44.5
7/13/17,42.1
7/14/17,44.2
7/15/17,43.5
7/16/17,42.6
7/17/17,38.2
7/18/17,35.9
7/19/17,35.3
7/20/17,35.6
7/21/17,36.4
7/22/17,36.9
7/23/17,36.4
7/24/17,35.3
7/25/17,36.2
7/26/17,37
7/27/17,35.9
7/28/17,35
7/29/17,34.1
7/30/17,33.9
7/31/17,34.2
8/1/17,33.6
8/2/17,32.2
8/3/17,31.3
8/4/17,31.1
8/5/17,30.9
8/6/17,30.1
8/7/17,29.6
8/8/17,29.4
8/9/17,29.5
8/10/17,28.9
8/11/17,28.3
8/12/17,27.9
8/13/17,27.9
8/14/17,29.2
8/15/17,27.9
8/16/17,26.9
8/17/17,27.1
8/18/17,26.2
8/19/17,25.7
8/20/17,26.4
8/21/17,30.9
8/22/17,27.9
8/23/17,25.8
8/24/17,25
8/25/17,24.8
8/26/17,25.9
8/27/17,24.8
8/28/17,24.7
8/29/17,24.3
8/30/17,24.8
8/31/17,24.2
9/1/17,22.7
9/2/17,19.7
9/3/17,18.8
9/4/17,18.9
9/5/17,22.2
9/6/17,25.1
9/7/17,23.9
9/8/17,27.9
9/9/17,32.6
9/10/17,32.4
9/11/17,24.6
9/12/17,20.6
9/13/17,22.2
9/14/17,24.9
9/15/17,24.3
9/16/17,22.6
9/17/17,21.2
9/18/17,22.1
9/19/17,21.7
9/20/17,21.5
9/21/17,21.1
9/22/17,19.6
9/23/17,18.4
9/24/17,18.2
9/25/17,18.2
9/26/17,20.8
9/27/17,16.5
9/28/17,15.9
9/29/17,15.7
9/30/17,15.6
10/1/17,15.8
10/2/17,15.3
10/3/17,16.3
10/4/17,16.6
10/5/17,16
10/6/17,15
10/7/17,14.8
10/8/17,14.5
10/9/17,14.3
10/10/17,14.3
10/11/17,13.9
10/12/17,13.7
10/13/17,13.6
10/14/17,13.6
10/15/17,13.3
10/16/17,13.8
10/17/17,13.6
10/18/17,14.5
10/19/17,16
10/20/17,18.2
10/21/17,18
10/22/17,17
10/23/17,16.7
10/24/17,15.6
10/25/17,15.1
10/26/17,15
10/27/17,15.4
10/28/17,15.5
10/29/17,15.5
10/30/17,15.9
10/31/17,16.1
11/1/17,17
11/2/17,17.4
11/3/17,26.1
11/4/17,24.5
11/5/17,23.9
11/6/17,22.3
11/7/17,22.2
11/8/17,20.3
11/9/17,72.9
11/10/17,55.3
11/11/17,35.2
11/12/17,29.1
11/13/17,26.3
11/14/17,24.2
11/15/17,21.2
11/16/17,188
11/17/17,129
11/18/17,56.1
11/19/17,42
11/20/17,37
11/21/17,34.8
11/22/17,31.8
11/23/17,27.5
11/24/17,26.6
11/25/17,24.4
11/26/17,38.3
11/27/17,67.2
11/28/17,43.6
11/29/17,32.2
11/30/17,27.9
12/1/17,26.1
12/2/17,23.9
12/3/17,22.3
12/4/17,22.7
12/5/17,22.4
12/6/17,21.2
12/7/17,20
12/8/17,19.8
12/9/17,20.1
12/10/17,20.2
12/11/17,20.7
12/12/17,21.2
12/13/17,21.1
12/14/17,20
12/15/17,20.1
12/16/17,21.3
12/17/17,22.1
12/18/17,22.3
12/19/17,23
12/20/17,25.8
12/21/17,25.3
12/22/17,24.8
12/23/17,24.8
12/24/17,24.2
12/25/17,25.8
12/26/17,25.9
12/27/17,24.9
12/28/17,25
12/29/17,24.2
12/30/17,23.2
12/31/17,25.4
1/1/18,25.1
1/2/18,25.7
1/3/18,29.6
1/4/18,48.3
1/5/18,51.7
1/6/18,48.5
1/7/18,36.2
1/8/18,212
1/9/18,764
1/10/18,161
1/11/18,106
1/12/18,80.8
1/13/18,67
1/14/18,57.2
1/15/18,51.7
1/16/18,47.1
1/17/18,45
1/18/18,43.3
1/19/18,44.1
1/20/18,41
1/21/18,38.2
1/22/18,51.1
1/23/18,51.1
1/24/18,44.6
1/25/18,68.5
1/26/18,52.7
1/27/18,44.7
1/28/18,41.3
1/29/18,38.9
1/30/18,35.5
1/31/18,39.5
2/1/18,35.3
2/2/18,33.2
2/3/18,33
2/4/18,32.7
2/5/18,31.5
2/6/18,30.5
2/7/18,29.5
2/8/18,28.5
2/9/18,28.1
2/10/18,27.7
2/11/18,26.9
2/12/18,27.2
2/13/18,27.5
2/14/18,26.7
2/15/18,27
2/16/18,26.4
2/17/18,26
2/18/18,25.8
2/19/18,25.8
2/20/18,25.6
2/21/18,26.1
2/22/18,26.2
2/23/18,26
2/24/18,25.7
2/25/18,25.6
2/26/18,28.8
2/27/18,28.7
2/28/18,26
3/1/18,213
3/2/18,173
3/3/18,126
3/4/18,96.4
3/5/18,77.8
3/6/18,67.6
3/7/18,60.3
3/8/18,55.9
3/9/18,51.8
3/10/18,48.3
3/11/18,46.1
3/12/18,50.1
3/13/18,139
3/14/18,158
3/15/18,178
3/16/18,235
3/17/18,167
3/18/18,124
3/19/18,95.6
3/20/18,88.7
3/21/18,358
3/22/18,1460
3/23/18,514
3/24/18,284
3/25/18,209
3/26/18,165
3/27/18,137
3/28/18,119
3/29/18,108
3/30/18,94.8
3/31/18,84.8
4/1/18,77.6
4/2/18,72.1
4/3/18,70.2
4/4/18,63.5
4/5/18,62.6
4/6/18,114
4/7/18,502
4/8/18,235
4/9/18,152
4/10/18,121
4/11/18,109
4/12/18,113
4/13/18,90.7
4/14/18,82.3
4/15/18,77.9
4/16/18,80.9
4/17/18,76.6
4/18/18,72
4/19/18,68.3
4/20/18,64.3
4/21/18,61.1
4/22/18,58.8
4/23/18,55.7
4/24/18,54.5
4/25/18,52.5
4/26/18,49.8
4/27/18,48.2
4/28/18,46.6
4/29/18,45.9
4/30/18,45.4
5/1/18,44.2
5/2/18,42.8
5/3/18,41.3
5/4/18,40.5
5/5/18,39.3
5/6/18,39.7
5/7/18,38.6
5/8/18,36.5
5/9/18,35.9
5/10/18,34.6
5/11/18,34.1
5/12/18,33.6
5/13/18,33.3
5/14/18,33.2
5/15/18,32.3
5/16/18,31.5
5/17/18,30.7
5/18/18,30.4
5/19/18,29.9
5/20/18,28.8
5/21/18,28.6
5/22/18,28.5
5/23/18,30.7
