Day Index,1 Day Active Users
1/1/20,301
1/2/20,286
1/3/20,278
1/4/20,254
1/5/20,291
1/6/20,287
1/7/20,473
1/8/20,355
1/9/20,338
1/10/20,235
1/11/20,246
1/12/20,301
1/13/20,519
1/14/20,334
1/15/20,250
1/16/20,225
1/17/20,213
1/18/20,248
1/19/20,260
1/20/20,248
1/21/20,236
1/22/20,334
1/23/20,319
1/24/20,283
1/25/20,313
1/26/20,286
1/27/20,474
1/28/20,544
1/29/20,391
1/30/20,320
1/31/20,318
2/1/20,318
2/2/20,312
2/3/20,465
2/4/20,507
2/5/20,378
2/6/20,342
2/7/20,332
2/8/20,306
2/9/20,307
2/10/20,319
2/11/20,494
2/12/20,406
2/13/20,361
2/14/20,366
2/15/20,360
2/16/20,355
2/17/20,449
2/18/20,377
2/19/20,332
2/20/20,"1,472"
2/21/20,571
2/22/20,403
2/23/20,407
2/24/20,477
2/25/20,568
2/26/20,485
2/27/20,488
2/28/20,772
2/29/20,791
3/1/20,572
3/2/20,746
3/3/20,"1,228"
3/4/20,"1,268"
3/5/20,"1,002"
3/6/20,913
3/7/20,775
3/8/20,780
3/9/20,936
3/10/20,910
3/11/20,993
3/12/20,"1,066"
3/13/20,991
3/14/20,"1,000"
3/15/20,"1,035"
3/16/20,"1,032"
3/17/20,"1,057"
3/18/20,949
3/19/20,930
3/20/20,926
3/21/20,753
3/22/20,757
3/23/20,779
3/24/20,706
3/25/20,791
3/26/20,862
3/27/20,959
3/28/20,728
3/29/20,858
3/30/20,867
3/31/20,735
4/1/20,953
4/2/20,924
4/3/20,681
4/4/20,620
4/5/20,603
4/6/20,641
4/7/20,653
4/8/20,622
4/9/20,508
4/10/20,485
4/11/20,595
4/12/20,"1,129"
4/13/20,634
4/14/20,540
4/15/20,"1,472"
4/16/20,922
4/17/20,913
4/18/20,655
4/19/20,588
4/20/20,709
4/21/20,657
4/22/20,539
4/23/20,535
4/24/20,450
4/25/20,551
4/26/20,584
